Year	Format2	Format	Units	Revenue	CPI Adjustment
2021	Synchronization	Synchronization		$306,526,161	$364,187,740
2021	Synchronization	Total		$306,526,161	$364,187,740
2021	Total	Total		$9,837,416,705	$11,687,963,414
2020	Digital Downloads	Download Album		$230,702,922	$286,978,493
2020	Digital Downloads	Download Music Video		$1,961,747	$2,440,277
2020	Digital Downloads	Download Single		$222,936,024	$277,317,009
2020	Digital Downloads	Kiosk		$806,000	$1,002,608
2020	Digital Downloads	Other Digital		$18,890,264	$23,498,183
2020	Digital Downloads	Ringtones & Ringbacks		$8,833,193	$10,987,882
2020	Digital Downloads	Total		$484,130,150	$602,224,453
2020	Physical	8 - Track		$0	$0
2020	Physical	Cassette		$0	$0
2020	Physical	Cassette Single		$0	$0
2020	Physical	CD		$274,378,026	$341,307,305
2020	Physical	CD Single		$269,570	$335,326
2020	Physical	DVD Audio		$1,021,603	$1,270,803
2020	Physical	LP/EP		$426,825,331	$530,941,217
2020	Physical	Music Video (Physical)		$15,755,097	$19,598,252
2020	Physical	Other Physical		$0	$0
2020	Physical	Other Tapes		$0	$0
2020	Physical	SACD		$133,452	$166,006
2020	Physical	Vinyl Single		$4,021,180	$5,002,070
2020	Physical	Total		$722,404,259	$898,620,980
2020	Streaming	Free Streaming		$1,196,598,336	$1,488,485,644
2020	Streaming	Other Streaming		$1,158,647,615	$1,441,277,570
2020	Streaming	Paid Subscriptions (Non-Premium)		$402,527,530	$500,716,433
2020	Streaming	Paid Subscriptions (Premium)		$3,823,665,917	$4,756,376,183
2020	Streaming	Total		$6,581,439,398	$8,186,855,829
2020	Synchronization	Synchronization		$265,236,067	$329,935,339
2020	Synchronization	Total		$265,236,067	$329,935,339
2020	Total	Total		$8,053,209,874	$10,017,636,601
2019	Digital Downloads	Download Album		$264,871,798	$333,546,984
2019	Digital Downloads	Download Music Video		$2,012,476	$2,534,265
2019	Digital Downloads	Download Single		$273,738,840	$344,713,047
2019	Digital Downloads	Kiosk		$1,126,346	$1,418,382
2019	Digital Downloads	Other Digital		$21,512,454	$27,090,140
2019	Digital Downloads	Ringtones & Ringbacks		$9,330,463	$11,749,638
2019	Digital Downloads	Total		$572,592,377	$721,052,455
2019	Physical	8 - Track		$0	$0
2019	Physical	Cassette		$0	$0
2019	Physical	Cassette Single		$0	$0
